,,Note,part number ,Quantity,Description,Alternative Part Number,Reference Designator
,,,CL10C220JB8NNNC,2,22PF 50V NP0 0603 Capacitor,C1608C0G1H220G080AA,"C2, C3"
,,5-7work days,F931C106MAAAJ6,2,10uf Tantalum Capacitor 1206 16V 20%,F931C106MAA,"C4, C8"
,,,C1608X6S1C475K080AC,1,4.7UF 16V X5R 0603,,C46
,,,CL10A106MA8NRNC,4,10uF 25V 20% 0603 Capacitor,,"C6, C9, C10, C24"
,,TME MOQ:100pcs 5-7work days,CL10B103KC8NNNC,1,.01uf/10nf 100V 0603 10% Capacitor,,C20
,,,CC0603MRY5V6BB105,5,1uf 16V 10% 0603 Capacitor,CL10A105KO8NNNC,"C1, C29, C44, C45, C47"
,,5-7work days,06033C104KAZ2A,27,0.1uf 25V 10% 0603 Capacitor,CL10B104KA8NNNC,"C5, C7, C21, C23, C25, C26, C27, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C48, C49, C50, C51, C55"
,,,VJ0603Y332KXJCW1BC,1,3.3nf 16V 10% 0603 Capacitor,,C19
,,5-7work days,GRM1885C2A101JA01D,1,100pf/0.1nf 100V 0603 Capacitor,,C22
,,,C1608C0G1H100C080AA,2,"10pF 脗卤0.25pF 50V Ceramic Capacitor C0G, NP0 0603",,"C13, C16"
,,,CL10C5R6DB8NNNC,1,5.6pF Ceramic Capacitor +-0.5pF 50V 0603,,C11
,,,CC0603JRNPO9BN150,2,CAP CER 15PF 50V C0G/NPO 0603,,"C14, C15"
,,,CL10C2R4CB8NNNC,1,CAP CER 2.4PF 50V C0G/NP0 0603,,C12
,,,CL10B271KB8NNNC,2,CAP CER 270PF 50V X7R 0603,,"C17, C18"
,,,SS1P3L-M3/84A,1,SS1P3L Schottky Diode 30V 1A,,D3
,,,B140HW-7,2,DIODE SCHOTTKY 40V 1A SOD123,,"D2, D5"
,,5-7work days,1N914BWS,1,Diode Standard 75V 150mA SOD-323F,,D1
,,MOQ：1500pcs  1500pcs / bag,SK6812MINI,19,3535 RGB Addressable LED,,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19"
,,7-10work days,AYZ0202AGRLC,1,DPDT Slide Switch (On/Off) SMT,,S1
,,7-10work days,TL3301NF100QG,4,Black Momentary Push Button - SMD,,"U$1, U$2, U$3, U$4"
,,,10118194-0001LF,1,USB Micro-B RECPT SMD Connector,,U$6
,,5-7work days,BC2AAPC,1,Battery Holder 2-AA TH,,U$5
,,,ATMEGA32U4-MU,1,ATMEGA32U4-MU Microcontroller QFN,,U4
,,5-7work days,FAN5331SX,1,LED Driver Regulator 1A SOT23-5,,U1
,,5-7work days,MIC5209-3.3YS-TR,1,IC REG LINEAR 3.3V 500MA SOT223,,U$7
,,,"74LVC1G3157GW,125",2,IC MUX/DEMUX 2X1 6TSSOP,,"U$8, U$9"
,,ESP32-D0WDQ6 QFN 6*6,ESP3212,1,ESP3212,,U2
,,5-7work days,TPS2113ADRBR,1,IC OR CTRLR SRC SELECT 8SON,,U$10
,,5-7work days,W25Q64JVSSIM TR,1,IC FLASH 64MBIT SPI 8SOIC W25Q64JVSSIM TR,,U5
,,5-7work days,SRU5018-100Y,1,10 uH Inductor 1.8A 5028,,L1
,,,HK16082N7S-T,1,FIXED IND 2.7NH 300MA 100 MOHM,,L2
,,,UG-9664HDDAG01,1,0.95 inch (96 x 64) Pixel Full Color Passive OLED LCD,,LCD1
,,,RC0603JR-07100KL,3,100K Resistor 0603 1/10W 5%,,"R2, R6, R12"
,,,ERJ-3GEYJ102V,1,1K OHM 5% 1/10W 0603 Resistor,RC0603JR-071KL,R13
,,,RC0603JR-0710KL,6,10K Resisitor 0603 1/10W 5%,,"R1, R3, R5, R7, R8, R10"
,,,RC0603FR-071ML,1,1M Resistor 0603 1/10W 1%,,R4
,,,RC0603JR-0722RL,2,22 ohm Resistor 0603 1/10W 5%,,"R14, R15"
,,,RC0603FR-0720KL,2,RES SMD 20K OHM 1% 1/10W 0603,,"R9, R11"
,,5-7work days,ABM3B-8.000MHZ-B2-T,1,8.0 MHz Crystal 5 mm x 3.2 mm,,Y1
,,5-7work days,ABS07-32.768KHZ-T,1,32.768 KHz Crystal FC-135 32.7680KA-A3,FC-135 32.7680KA-A3,X2
,,5-7work days,TSX-3225 26.0000MF09Z-AC0,1,Crystal 26MHz 3.2 x 2.5,,Y2
,,,,,,,
,,,,,,,
,,,,,,,
0.5KG,,,,,,,